id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,xaxis,yaxis,n,own,coli
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36524121,-71.02936149,Entire home/apt,125,30,14,7/2/18,0.36,2,25,1,1,2,0,1
5506,**$125 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.3298085,-71.09559469,Entire home/apt,145,3,71,9/3/18,0.61,6,319,2,1,6,0,1
6695,$125 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32994061,-71.09350511,Entire home/apt,169,3,75,8/26/18,0.68,6,319,3,1,6,0,1
6976,Mexican Folk Art Haven in Boston Residential Area,16701,Phil,,Roslindale,42.29243789,-71.13576525,Private room,65,3,68,7/31/18,0.61,1,125,4,1,1,0,1
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35918692,-71.06265111,Entire home/apt,99,14,18,8/27/18,0.36,11,63,5,1,11,1,1
8792,Large 1 Bed facing State House,26988,Anne,,Downtown,42.35849698,-71.06201144,Entire home/apt,154,20,24,8/15/18,0.22,11,23,6,1,11,1,1
9273,"Stay at ""HARBORVIEW"" Walk to subway",4804,Frank,,East Boston,42.36460804,-71.02902056,Entire home/apt,225,7,14,10/23/16,0.14,2,256,7,1,2,0,1
9824,[1273] Fab Studio- close to Newbury,25188,Seamless,,Back Bay,42.34949627,-71.08595385,Entire home/apt,209,2,22,6/18/16,0.25,24,338,8,1,24,1,1
10758,Budget Single - share bath,38440,The Farrington Inn,,Allston,42.35344917,-71.13179683,Private room,115,1,2,10/3/15,0.04,4,0,9,1,4,0,1
10807,Budget Double - share bath ,38440,The Farrington Inn,,Allston,42.35412286,-71.13048573,Private room,80,1,1,10/13/14,0.02,4,13,10,1,4,0,1
10809,Private Room with 2 Beds share Bath,38440,The Farrington Inn,,Allston,42.35478799,-71.13208846,Private room,100,1,14,8/15/16,0.26,4,0,11,1,4,0,1
10810,Two Bedroom Apartment,38440,The Farrington Inn,,Allston,42.35335918,-71.13034354,Entire home/apt,250,4,0,,,4,0,12,1,4,0,1
10811,Back Bay Studio on Marlborough St-,38997,Michelle,,Back Bay,42.34972969,-71.08792364,Entire home/apt,189,1,5,4/8/17,0.15,7,343,13,1,7,0,1
10813,Back Bay Apt Studio Apt,38997,Michelle,,Back Bay,42.34961258,-71.08903822,Entire home/apt,190,3,1,5/23/16,0.04,7,331,14,1,7,0,1
10986,Waterfront Furnished Apt ,38997,Michelle,,North End,42.36351987,-71.05075392,Entire home/apt,115,5,2,5/23/16,0.07,7,354,15,1,7,0,1
12356,"Renovated, State House View",26988,Anne,,Beacon Hill,42.35898849,-71.06324696,Entire home/apt,145,14,9,8/13/16,0.19,11,197,16,1,11,1,1
12441,"[1300] 3BR, Multi-Level, Penthouse in Back Bay",25188,Seamless,,Back Bay,42.35384159,-71.07268038,Entire home/apt,414,2,42,9/13/18,0.41,24,131,17,1,24,1,1
13589,"[1426-1] Newly Renovated 3 BR, Bi-Level-Back Bay",25188,Seamless,,Back Bay,42.3552632,-71.0727931,Entire home/apt,389,3,61,9/30/17,0.6,24,238,18,1,24,1,1
22212,[1275]2BR-Off Newbury St.- Back Bay,25188,Seamless,,Back Bay,42.34995448,-71.08660245,Entire home/apt,285,2,25,2/8/17,0.27,24,357,19,1,24,1,1
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34495654,-71.07485746,Private room,148,2,282,8/22/18,11,4,61,20,1,4,0,1
24240,The Golden Slipper,97821,Gretchen,,North End,42.36366048,-71.05023194,Entire home/apt,270,1,73,8/23/18,0.76,1,145,21,1,1,0,1
27546,L'Auberge Espagnole  /room H,119019,Hermina,,Dorchester,42.29834949,-71.05910373,Private room,55,1,232,8/27/18,2.29,10,256,22,1,10,0,1
