county	year	snow
Essex	2018	16
Essex	2017	4.7
Essex	2016	3.5
Sorfolk	2018	15.4
Sorfolk	2017	8.9
Sorfolk	2016	9.5
Barnstable	2018	6.3
Barnstable	2017	11.2
Barnstable	2016	6.8
Bristol	2018	23.2
Bristol	2017	13.4
Bristol	2016	10.6
Dukes	2018	4.7
Dukes	2017	15.5
Dukes	2016	15.2
Hampshire	2018	17.5
Hampshire	2017	7
Hampshire	2016	3
Plymouth	2018	6
Plymouth	2017	16.5
Plymouth	2016	9.8
Worcester	2018	21.1
Worcester	2017	14.9
Worcester	2016	9.7
Norfolk	2018	21.7
Norfolk	2017	10.1
Norfolk	2016	10.2
Middlesex	2018	9.8
Middlesex	2017	4.5
Middlesex	2016	9.3
Nantucket	2018	0
Nantucket	2017	3.4
Nantucket	2016	0.1
Franklin	2018	19
Franklin	2017	9
Franklin	2016	10.5
Berkshire	2018	22
Berkshire	2017	4.9
Berkshire	2016	1.83
Hampden	2018	6
Hampden	2017	5
Hampden	2016	1
