Country,forest,F1,land area,percent
Suriname,"153,320.00",Suriname,"156,000.00",98.3%
"Micronesia, Fed. Sts.",642.7,"Micronesia, Fed. Sts.",700,91.8%
Gabon,"230,000.00",Gabon,"257,670.00",89.3%
Seychelles,406.7,Seychelles,460,88.4%
American Samoa,175.4,American Samoa,200,87.7%
Palau,403,Palau,460,87.6%
Guyana,"165,260.00",Guyana,"196,850.00",84.0%
Lao PDR,"187,614.10",Lao PDR,"230,800.00",81.3%
Solomon Islands,"21,850.00",Solomon Islands,"27,990.00",78.1%
Papua New Guinea,"335,590.00",Papua New Guinea,"452,860.00",74.1%
Finland,"222,180.00",Finland,"303,910.00",73.1%
Bhutan,"27,549.30",Bhutan,"38,117.00",72.3%
Brunei Darussalam,"3,800.00",Brunei Darussalam,"5,270.00",72.1%
Marshall Islands,126.4,Marshall Islands,180,70.2%
Guinea-Bissau,"19,720.00",Guinea-Bissau,"28,120.00",70.1%
St. Vincent and the Grenadines,270,St. Vincent and the Grenadines,390,69.2%
Sweden,"280,730.00",Sweden,"407,310.00",68.9%
Japan,"249,580.00",Japan,"364,560.00",68.5%
Malaysia,"221,950.00",Malaysia,"328,550.00",67.6%
"Congo, Dem. Rep.","1,525,780.00","Congo, Dem. Rep.","2,267,050.00",67.3%
Zambia,"486,350.00",Zambia,"743,390.00",65.4%
"Congo, Rep.","223,340.00","Congo, Rep.","341,500.00",65.4%
Northern Mariana Islands,295,Northern Mariana Islands,460,64.1%
"Korea, Rep.","61,840.00","Korea, Rep.","97,480.00",63.4%
Panama,"46,170.00",Panama,"74,340.00",62.1%
Slovenia,"12,480.00",Slovenia,"20,140.00",62.0%
Montenegro,"8,270.00",Montenegro,"13,450.00",61.5%
Samoa,"1,710.00",Samoa,"2,830.00",60.4%
Belize,"13,663.00",Belize,"22,810.00",59.9%
Brazil,"4,935,380.00",Brazil,"8,358,140.00",59.0%
Peru,"739,730.00",Peru,"1,280,000.00",57.8%
Dominica,433.3,Dominica,750,57.8%
Puerto Rico,"4,959.50",Puerto Rico,"8,870.00",55.9%
Equatorial Guinea,"15,680.00",Equatorial Guinea,"28,050.00",55.9%
Sao Tome and Principe,536,Sao Tome and Principe,960,55.8%
Fiji,"10,172.00",Fiji,"18,270.00",55.7%
Costa Rica,"27,560.00",Costa Rica,"51,060.00",54.0%
Latvia,"33,560.00",Latvia,"62,180.00",54.0%
Cambodia,"94,570.00",Cambodia,"176,520.00",53.6%
"Venezuela, RB","466,830.00","Venezuela, RB","882,050.00",52.9%
Cayman Islands,127,Cayman Islands,240,52.9%
Colombia,"585,017.40",Colombia,"1,109,500.00",52.7%
Estonia,"22,320.00",Estonia,"42,390.00",52.7%
Tanzania,"460,600.00",Tanzania,"885,800.00",52.0%
"Bahamas, The","5,150.00","Bahamas, The","10,010.00",51.4%
Bolivia,"547,640.00",Bolivia,"1,083,300.00",50.6%
Ecuador,"125,478.80",Ecuador,"248,360.00",50.5%
Virgin Islands (U.S.),176,Virgin Islands (U.S.),350,50.3%
Indonesia,"910,100.00",Indonesia,"1,811,570.00",50.2%
Grenada,169.9,Grenada,340,50.0%
Russian Federation,"8,149,305.00",Russian Federation,"16,376,870.00",49.8%
Mozambique,"379,400.00",Mozambique,"786,380.00",48.2%
"Gambia, The","4,880.00","Gambia, The","10,120.00",48.2%
Vietnam,"147,730.00",Vietnam,"310,070.00",47.6%
Austria,"38,690.00",Austria,"82,523.00",46.9%
Angola,"578,560.00",Angola,"1,246,700.00",46.4%
Guam,250,Guam,540,46.3%
Timor-Leste,"6,860.00",Timor-Leste,"14,870.00",46.1%
New Caledonia,"8,390.00",New Caledonia,"18,280.00",45.9%
Trinidad and Tobago,"2,344.80",Trinidad and Tobago,"5,130.00",45.7%
Myanmar,"290,410.00",Myanmar,"653,080.00",44.5%
