county,year,snow,Rainfall
Essex,2018,16,3.09
Essex,2017,4.7,3.76
Essex,2016,3.5,2
Sorfolk,2018,15.4,4.82
Sorfolk,2017,8.9,4.25
Sorfolk,2016,9.5,3.27
Barnstable,2018,6.3,2.51
Barnstable,2017,11.2,4.45
Barnstable,2016,6.8,5.04
Bristol,2018,23.2,6.63
Bristol,2017,13.4,5.31
Bristol,2016,10.6,3.35
Dukes,2018,4.7,3.05
Dukes,2017,15.5,6.6
Dukes,2016,15.2,4.3
Hampshire,2018,17.5,4.73
Hampshire,2017,7,3.84
Hampshire,2016,3,1.98
Plymouth,2018,6,5.94
Plymouth,2017,16.5,6.26
Plymouth,2016,9.8,4.2
Worcester,2018,21.1,3.62
Worcester,2017,14.9,3.91
Worcester,2016,9.7,2.12
Norfolk,2018,21.7,5.27
Norfolk,2017,10.1,4.5
Norfolk,2016,10.2,3.6
Middlesex,2018,9.8,2.1
Middlesex,2017,4.5,4.11
Middlesex,2016,9.3,3.88
Nantucket,2018,0,1.62
Nantucket,2017,3.4,2.66
Nantucket,2016,0.1,0.95
Franklin,2018,19,5.03
Franklin,2017,9,4.59
Franklin,2016,10.5,3.8
Berkshire,2018,22,5.3
Berkshire,2017,4.9,3.5
Berkshire,2016,1.83,6
Hampden,2018,6,3.38
Hampden,2017,5,3.8
Hampden,2016,1,1.62
