name,birthday,awardday,death_date,lifespan,award,year
Emil Jannings,1884-07-23,5/16/29,1/2/50,"22,683 days (62_years, 39_days)",44,1929
Warner Baxter,1889-03-29,4/3/30,5/7/51,"28,424 days (77_years, 301_days)",41,1930
George Arliss,1868-04-10,11/5/30,2/5/46,"27,959 days (76_years, 201_days)",62,1930
Lionel Barrymore,1878-04-28,11/10/31,11/15/54,"23,389 days (64_years, 14_days)",53,1931
Wallace Beery,1885-04-01,11/18/32,4/15/49,"28,349 days (77_years, 226_days)",47,1932
Fredric March,1897-08-31,11/18/32,4/14/75,"23,177 days (63_years, 167_days)",35,1932
Charles Laughton,1899-07-01,3/16/34,12/15/62,"21,838 days (59_years, 289_days)",34,1934
Clark Gable,2/1/01,2/27/35,11/16/60,"26,629 days (72_years, 332_days)",34,1935
Victor McLaglen,1886-12-10,3/5/36,11/7/59,"26,269 days (71_years, 337_days)",49,1936
Paul Muni,1895-09-22,3/4/37,8/25/67,"24,537 days (67_years, 66_days)",41,1937
Spencer Tracy,4/5/00,3/10/38,6/10/67,"24,537 days (67_years, 66_days)",37,1938
Spencer Tracy,4/5/00,2/23/39,6/10/67,"19,441 days (53_years, 83_days)",38,1939
Robert Donat,3/18/05,2/29/40,6/9/58,"32,550 days (89_years, 43_days)",34,1940
James Stewart,5/20/08,2/27/41,7/2/97,"21,921 days (60_years, 6_days)",32,1941
Gary Cooper,5/7/01,2/26/42,5/13/61,"31,667 days (86_years, 256_days)",40,1942
James Cagney,1899-07-17,3/4/43,3/30/86,"27,839 days (76_years, 81_days)",43,1943
Paul Lukas,1891-05-26,3/2/44,8/15/71,"27,193 days (74_years, 164_days)",48,1944
Bing Crosby,5/3/03,3/15/45,10/14/77,"28,921 days (79_years, 66_days)",41,1945
Ray Milland,1/3/07,3/7/46,3/10/86,"28,349 days (77_years, 226_days)",39,1946
Fredric March,1897-08-31,3/13/47,4/14/75,"24,570 days (67_years, 99_days)",49,1947
