name,bday,award,dead,movie,award,year
Janet Gaynor,10/6/06,5/16/29,9/14/84,"Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans",22,1929
Mary Pickford,1892-04-08,4/3/30,5/29/79,Coquette,37,1930
Norma Shearer,8/10/02,11/5/30,6/12/83,Divorcee,28,1930
Marie Dressler,1868-11-09,11/10/31,7/28/34,Min And Bill,63,1931
Helen Hayes,10/10/00,11/18/32,3/17/93,Sin Of Madelon Claudet,32,1932
Katharine Hepburn,5/12/07,3/16/34,6/29/03,Morning Glory,26,1934
Claudette Colbert,9/13/03,2/27/35,7/30/96,It Happened One Night,31,1935
Bette Davis,4/5/08,3/5/36,10/6/89,Dangerous,27,1936
Luise Rainer,1/12/10,3/4/37,12/30/14,Great Ziegfeld,27,1937
Luise Rainer,1/12/10,3/10/38,12/30/14,Good Earth,28,1938
Bette Davis,4/5/08,2/23/39,10/6/89,Jezebel,30,1939
Vivien Leigh,11/5/13,2/29/40,7/7/67,Gone With The Wind,26,1940
Ginger Rogers,7/16/11,2/27/41,4/25/95,Kitty Foyle,29,1941
Joan Fontaine,10/22/17,2/26/42,12/15/13,Suspicion,24,1942
Greer Garson,9/29/04,3/4/43,4/6/96,Mrs Miniver,38,1943
Jennifer Jones,3/2/19,3/2/44,12/17/09,Song Of Bernadette,25,1944
Ingrid Bergman,8/29/15,3/15/45,8/29/82,Gaslight,29,1945
Joan Crawford,3/23/05,3/7/46,5/10/77,Mildred Pierce,40,1946
Olivia de Havilland,7/1/16,3/13/47,3/14/18,To Each His Own,30,1947
Loretta Young,1/6/13,3/20/48,8/12/00,Farmers Daughter,35,1948
Jane Wyman,1/5/17,3/24/49,9/10/07,Johnny Belinda,32,1949
Olivia de Havilland,7/1/16,3/23/50,3/14/18,Heiress,33,1950
Judy Holliday,6/21/21,3/29/51,6/7/65,Born Yesterday,29,1951
Vivien Leigh,11/5/13,3/20/52,7/7/67,Streetcar Named Desire,38,1952
Shirley Booth,1898-08-30,3/19/53,10/16/92,Come Back Little Sheba,54,1953
Audrey Hepburn,5/4/29,3/25/54,1/20/93,Roman Holiday,24,1954
Grace Kelly,11/12/29,3/30/55,9/14/82,Country Girl,25,1955
Anna Magnani,3/7/08,3/21/56,9/26/73,Rose Tattoo,48,1956
Ingrid Bergman,8/29/15,3/27/57,8/29/82,Anastasia,41,1957
Joanne Woodward,2/27/30,3/26/58,3/14/18,Three Faces Of Eve,28,1958
Susan Hayward,6/30/17,4/6/59,3/14/75,I Want to Live,41,1959
Simone Signoret,3/25/21,4/4/60,9/30/85,Room At The Top,39,1960
Elizabeth Taylor,2/27/32,4/17/61,3/23/11,Butterfield 8,29,1961
Sophia Loren,9/20/34,4/9/62,3/14/18,Two Women,27,1962
Anne Bancroft,9/17/31,4/8/63,6/6/05,Miracle Worker,31,1963
Patricia Neal,1/20/26,4/13/64,8/8/10,Hud,38,1964
Julie Andrews,10/1/35,4/5/65,3/14/18,Mary Poppins,29,1965
Julie Christie,4/14/41,4/18/66,3/14/18,Darling,25,1966
Elizabeth Taylor,2/27/32,4/10/67,3/23/11,Whos Afraid Of Virginia Woolf,35,1967
Katharine Hepburn,5/12/07,4/10/68,6/29/03,Guess Whos Coming To Dinner,60,1968
Katharine Hepburn,5/12/07,4/14/69,6/29/03,Lion In Winter,61,1969
Barbra Streisand,4/24/42,4/14/69,3/14/18,Funny Girl,26,1969
Maggie Smith,12/28/34,4/7/70,3/14/18,Prime Of Miss Jean Brodie,35,1970
Glenda Jackson,5/9/36,4/15/71,3/14/18,Women In Love,34,1971
Jane Fonda,12/21/37,4/10/72,3/14/18,Klute,34,1972
Liza Minnelli,3/12/46,3/27/73,3/14/18,Cabaret,27,1973
Glenda Jackson,5/9/36,4/2/74,3/14/18,Touch Of Class,37,1974
Ellen Burstyn,12/7/32,4/8/75,3/14/18,Alice Doesn't Live Here Anymore,42,1975
Louise Fletcher,7/22/34,3/29/76,3/14/18,One Flew Over The Cuckoos Nest,41,1976
Faye Dunaway,1/14/41,3/28/77,3/14/18,Network,36,1977
Diane Keaton,1/5/46,4/3/78,3/14/18,Annie Hall,32,1978
Jane Fonda,12/21/37,4/9/79,3/14/18,Coming Home,41,1979
Sally Field,11/6/46,4/14/80,3/14/18,Norma Rae,33,1980
Sissy Spacek,12/25/49,3/31/81,3/14/18,Coal Miners Daughter,31,1981
Katharine Hepburn,5/12/07,3/29/82,6/29/03,On Golden Pond,74,1982
Meryl Streep,6/22/49,4/11/83,3/14/18,Sophies Choice,33,1983
Shirley MacLaine,4/24/34,4/9/84,3/14/18,Terms of Endearment,49,1984
Sally Field,11/6/46,3/25/85,3/14/18,Places In The Heart,38,1985
Geraldine Page,11/22/24,3/24/86,6/13/87,Trip To Bountiful,61,1986
Marlee Matlin,8/24/65,3/30/87,3/14/18,Children Of A Lesser God,21,1987
Cher,5/20/46,4/11/88,3/14/18,Moonstruck,41,1988
Jodie Foster,11/19/62,3/27/89,3/14/18,Accused,26,1989
Jessica Tandy,6/7/09,3/26/90,9/11/94,Driving Miss Daisy,80,1990
Kathy Bates,6/28/48,3/25/91,3/14/18,Misery,42,1991
Jodie Foster,11/19/62,3/30/92,3/14/18,Silence of the Lambs,29,1992
Emma Thompson,4/15/59,3/29/93,3/14/18,Howards End,33,1993
Holly Hunter,3/20/58,3/21/94,3/14/18,Piano,36,1994
Jessica Lange,4/20/49,3/27/95,3/14/18,Blue Sky,45,1995
Susan Sarandon,10/4/46,3/25/96,3/14/18,Dead Man Walking,49,1996
Frances McDormand,6/23/57,3/24/97,3/14/18,Fargo,39,1997
Helen Hunt,6/15/63,3/23/98,3/14/18,As Good As It Gets,34,1998
Gwyneth Paltrow,9/27/72,3/21/99,3/14/18,Shakespeare In Love,26,1999
Hilary Swank,7/30/74,3/26/00,3/14/18,Boys Don't Cry,25,2000
Julia Roberts,10/28/67,3/25/01,3/14/18,Erin Brockovich,33,2001
Halle Berry,8/14/66,3/24/02,3/14/18,Monsters Ball,35,2002
Nicole Kidman,6/20/67,3/23/03,3/14/18,Hours,35,2003
Charlize Theron,8/7/75,2/29/04,3/14/18,Monster,28,2004
Hilary Swank,7/30/74,2/27/05,3/14/18,Million Dollar Baby,30,2005
Reese Witherspoon,3/22/76,3/5/06,3/14/18,Walk The Line,29,2006
Helen Mirren,7/26/45,2/25/07,3/14/18,Queen,61,2007
Marion Cotillard,9/30/75,2/24/08,3/14/18,La Vie En Rose,32,2008
Kate Winslet,10/5/75,2/22/09,3/14/18,Reader,33,2009
Sandra Bullock,7/26/64,3/7/10,3/14/18,Blind Side,45,2010
Natalie Portman,6/9/81,2/27/11,3/14/18,Black Swan,29,2011
Meryl Streep,6/22/49,2/26/12,3/14/18,Iron Lady,62,2012
Jennifer Lawrence,8/15/90,2/24/13,3/14/18,Silver Linings Playbook,22,2013
Cate Blanchett,5/14/69,3/2/14,3/14/18,Blue Jasmine,44,2014
Julianne Moore,12/3/60,2/22/15,3/14/18,Still Alice,54,2015
Brie Larson,10/1/89,2/28/16,3/14/18,Room,26,2016
Emma Stone,11/6/88,2/26/17,3/14/18,La La Land,28,2017
Frances McDormand,6/23/57,3/4/18,3/14/18,"Three Billboards Outside Ebbing, Missouri",60,2018
