name,movie,bday,award,dead,desc,year
Gale Sondergaard,Anthony Adverse,1899-02-15,38,8/14/85,"Held record as youngest winner for 5 award ceremonies (from the 9th to the 14th, March 1937äóñFebruary 1942)",1937
Alice Brady,In Old Chicago,1892-11-02,45,10/28/39,"Held record as oldest winner for 3 award ceremonies (from the 10th to the 13th, March 1938äóñFebruary 1941)",1938
Fay Bainter,Jezebel,1893-12-07,45,4/16/68,,1939
Hattie McDaniel,Gone With The Wind,1895-06-10,44,10/26/52,,1940
Jane Darwell,Grapes Of Wrath,1879-10-15,61,8/13/67,"Held record as oldest winner for 4 award ceremonies (from the 13th to the 17th, February 1941äóñMarch 1945)",1941
Mary Astor,Great Lie,5/3/06,35,9/25/87,"Held record as youngest winner for 1 award ceremony (from the 14th to the 15th, February 1942äóñMarch 1943)",1942
Teresa Wright,Mrs Miniver,10/27/18,24,3/6/05,"Held record as youngest winner for 4 award ceremonies (from the 15th to the 19th, March 1943äóñMarch 1947)",1943
Katina Paxinou,For Whom The Bell Tolls,12/17/00,43,2/22/73,,1944
Ethel Barrymore,None But The Lonely Heart,1879-08-15,65,6/18/59,"Held record as oldest winner for 6 award ceremonies (from the 17th to the 23rd, March 1945äóñMarch 1951)",1945
Anne Revere,National Velvet,6/25/03,42,12/18/90,,1946
Anne Baxter,Razors Edge,5/7/23,23,12/12/85,"Held record as youngest winner for 16 award ceremonies (from the 19th to the 35th, March 1947äóñApril 1963)",1947
Celeste Holm,Gentlemans Agreement,4/29/17,30,7/15/12,,1948
Claire Trevor,Key Largo,3/8/10,39,4/8/00,,1949
Mercedes McCambridge,All The Kings Men,3/16/16,34,3/2/04,,1950
Josephine Hull,Harvey,1877-01-03,74,3/12/57,"Held record as oldest winner for 34 award ceremonies (from the 23rd to the 57th, March 1951äóñMarch 1985)",1951
Kim Hunter,Streetcar Named Desire,11/12/22,29,9/11/02,,1952
Gloria Grahame,Bad And The Beautiful,11/28/23,29,10/5/81,,1953
Donna Reed,From Here To Eternity,1/27/21,33,1/14/86,,1954
Eva Marie Saint,On The Waterfront,7/4/24,30,3/14/18,"(93Œæyears, 253Œædays)",1955
Jo Van Fleet,East Of Eden,12/30/14,41,6/10/96,,1956
Dorothy Malone,Written On The Wind,1/30/25,32,1/19/18,,1957
Miyoshi Umeki,Sayonara,5/8/29,28,8/28/07,,1958
Wendy Hiller,Separate Tables,8/15/12,46,5/14/03,,1959
Shelley Winters,Diary Of Anne Frank,8/18/20,39,1/14/06,1st of 2,1960
Shirley Jones,Elmer Gantry,3/31/34,27,3/14/18,"(83Œæyears, 348Œædays)",1961
Rita Moreno,West Side Story,12/11/31,30,3/14/18,"(86Œæyears, 93Œædays)",1962
Patty Duke,Miracle Worker,12/14/46,16,3/29/16,"Held record as youngest winner for 11 award ceremonies (from the 35th to the 46th, April 1963äóñApril 1974)",1963
Margaret Rutherford,Vips,1892-05-11,71,5/22/72,,1964
Lila Kedrova,Zorba The Greek,10/9/18,46,2/16/00,,1965
Shelley Winters,Patch Of Blue,8/18/20,45,1/14/06,2nd of 2,1966
Sandy Dennis,Whos Afraid Of Virginia Woolf,4/27/37,29,3/2/92,,1967
