state,shateshort,control
Alabama,AL,2
Alaska,AK,0
Arizona,AZ,2
Arkansas,AR,2
California,CA,1
Colorado,CO,0
Connecticut,CT,0
Delaware,DE,1
Florida,FL,2
Georgia,GA,2
Hawaii,HI,1
Idaho,ID,2
Illinois,IL,0
Indiana,IN,2
Iowa,IA,2
Kansas,KS,2
Kentucky,KY,2
Louisiana,LA,0
Maine,ME,0
Maryland,MD,0
Massachutts,MA,0
Michigan,MI,2
Minnesota,MN,0
Mississippi,MS,2
Missouri,MO,2
Montana,MT,0
Nebraska,NE,0
Nevada,NV,0
New Hampshire,NH,2
New Jersey,NJ,1
New Mexico,NM,0
New York,NY,1
North Carolina,NC,0
North Dakota,ND,2
Ohio,OH,2
Oklahoma,OK,2
Oregon,OR,1
Pennsylvania,PA,0
Rhode Island,RI,1
South Carolina,SC,2
South Dakota,SD,2
Tennessee,TN,2
Texas,TX,2
Utah,UT,2
Vermont,VT,0
Virginia,VA,0
Washington,WA,1
West Virginia,WV,2
Wisconsin,WI,2
Wyoming,WY,2
